City,Cloudiness,Country,Date,Humidity,Lat,Lan,Max_Temp,Wind_Speed
puerto ayora,75,US,1558328185,93,42.49,-83.11,63,3.36
rawson,100,RU,1558328185,94,68.75,161.3,27.3,10.4
mataura,1,CA,1558328186,35,55.28,-114.77,55.4,10.29
fairbanks,20,CA,1558328186,62,55.74,-97.86,44.6,9.17
rikitea,28,AU,1558328187,79,-34.72,135.86,63.12,16.51
new norfolk,87,CD,1558328187,68,-5.47,22.27,77.34,0.22
kathu,100,NZ,1558328188,82,-46.19,168.86,53.01,13
belushya guba,1,IN,1558328188,58,15.34,74.49,86,3.36
fukue,0,RU,1558328189,33,55.79,84.89,62.6,20.13
tasiilaq,92,CN,1558328189,52,26.41,111.6,76.62,10.42
pisco,40,CA,1558328650,36,62.45,-114.38,60.8,5.82
kruisfontein,100,ZA,1558328190,97,-34.42,19.24,57.99,4
dunedin,42,SA,1558327910,30,24.63,46.72,84.2,4.7
katsuura,87,GL,1558328191,86,65.61,-37.64,32,3.36
ushuaia,59,AU,1558328651,36,-15.77,128.74,93.2,9.17
cidreira,99,GL,1558328191,88,77.48,-69.36,14.88,4.99
cabo san lucas,,,,,,,,
punta arenas,0,ES,1558328192,76,38.18,-1.13,60.01,3.36
grindavik,40,CL,1558328192,65,-53.16,-70.91,46.4,44.96
narsaq,69,PF,1558328193,82,-23.12,-134.97,76.08,9.37
saleaula,76,AO,1558328193,96,-8.19,15.37,67.8,2.95
arraial do cabo,40,AR,1558328193,69,-54.81,-68.31,39.2,34.45
port-gentil,100,RU,1558328143,100,66.08,76.63,33.6,10.02
cape town,52,RU,1558328194,29,57.02,82.07,57.54,17.11
atuona,90,CA,1558328194,52,49.42,-82.43,41,14.99
hobart,100,RU,1558328195,82,65.4,64.7,33.96,15.77
hanzhong,23,ID,1558328195,66,-3.31,129,86.34,6.49
aflu,90,US,1558328195,74,22.08,-159.32,80.6,13.87
provideniya,86,NZ,1558328196,1,-38.07,174.82,60.01,20
lompoc,73,AU,1558328196,44,-33.64,115.35,66,15.86
vardo,95,AU,1558328103,67,-42.88,147.33,57.99,10.29
ponta do sol,0,AU,1558328197,46,-34.67,150.86,73.4,8.05
